‎הנה החלק השני: פריטים 201 עד 400 (ירקות, אגוזים, שומנים, ממרחים, רטבים ומוצרי חלב נוספים):
‎פריטים 201–400 (ל-100 גרם)
מס'	שם המוצר	קלוריות	חלבון (ג')	פחמימות (ג')	שומן (ג')
288	שוקולד חלב פרות (עלית)	535	6.5	57.0	31.0
289	חטיף פסק זמן	530	7.5	58.0	30.0
290	חטיף כיף כף	520	6.5	60.0	28.0
291	חטיף אגוזי	490	11.0	45.0	30.0
292	חטיף טוויסט	480	5.0	66.0	22.0
293	חטיף טורטית	460	4.5	62.0	21.0
294	עוגיות אוראו	480	5.0	70.0	20.0
295	עוגיות מזרחיות / עוגיות עבאדי	440	9.0	62.0	17.0
296	גלידת נוקאאוט / מגנום	330	4.0	28.0	22.0
297	ארטיק קרח לימון/דובדבן	90	0.0	23.0	0.0
298	שלגון פלדמן לייט (40 קלוריות)	120	2.5	22.0	2.5
299	רסק עגבניות 28-30% (טל)	82	4.0	15.5	0.5
300	עגבניות מרוסקות מקולפות (מוטי Mutti)	32	1.5	6.0	0.2
301	זיתים ירוקים מבוקעים (בית השיטה)	145	1.5	3.5	15.0
302	זיתים שחורים מושחזים	220	1.8	3.0	22.0
303	מלפפון חמוץ במלח / בחומץ (יבנה)	14	0.7	2.5	0.2
304	טחינה משומשום מלא מוכנה בקופסה	270	6.5	6.0	24.0
305	חלב קוקוס לקארי 17% שומן	175	1.6	3.0	17.5
306	קרם קוקוס 20%-22%	215	2.0	3.5	21.5
307	נודלס להקפצה (מאסטר שף)	360	9.0	73.0	2.0
308	דפי אורז לספרינג רול	340	0.8	82.0	0.2
309	שקדי מרק (אסם)	430	11.0	65.0	14.0
310	סלט כרוב אדום במיונז מוכן	210	1.2	7.0	19.0
311	סלט טורקי מוכן (צבר)	95	1.2	6.0	7.5
312	סלט חצילים בטחינה מוכן	190	2.5	7.0	16.5
313	סלט מטבוחה אסלית (אחלה)	110	1.5	9.0	7.8
314	קפה שחור / נס קפה ללא חלב וללא סוכר	2	0.2	0.4	0.0
315	מיץ תפוזים טבעי סחוט (פריגת)	45	0.7	10.5	0.1
316	משקה קולה קלה / זירו Coca Cola Zero	0	0.0	0.0	0.0
317	משקה ספרייט זירו / פאנטה זירו	2	0.0	0.4	0.0
318	מיץ ענבים תירוש לקידוש	75	0.2	18.5	0.1
319	משקה אלוורה עם חתיכות	45	0.0	11.5	0.0
320	בירה שחורה נשר מאלט	42	0.2	10.2	0.0
321	בירה לבנה 5% אלכוהול (גולדסטאר/מכבי)	43	0.4	3.6	0.0
322	יין אדום יבש	85	0.1	2.6	0.0
323	גבינה לבנה 0% - תנובה	46	9.5	3.8	0.3
324	גבינה לבנה 1% - תנובה	55	9.5	3.8	1.0
325	גבינה לבנה 3% - תנובה	75	9.5	3.6	3.0
326	גבינה לבנה 15% - תנובה	185	8.0	3.5	15.0
327	גבינה לבנה 28% - תנובה	290	6.5	3.5	28.0
328	גבינה לבנה 0% - שטראוס	45	9.8	3.5	0.2
329	גבינה לבנה 1% - שטראוס	53	9.6	3.5	1.0
330	גבינה לבנה 5% - שטראוס	78	9.5	3.5	3.0
331	גבינה לבנה 9% - שטראוס	125	9.0	3.5	9.0
332	גבינה לבנה 15% - שטראוס	175	8.5	3.5	15.0
333	גבינה לבנה 28% - שטראוס	280	7.0	3.5	28.0
334	גבינה לבנה 0% - טרה	46	9.6	3.6	0.2
335	גבינה לבנה 1% - טרה	54	9.5	3.6	1.0
336	גבינה לבנה 3% - טרה	76	9.5	3.5	3.0
337	גבינה לבנה 5% - טרה	98	9.5	3.5	5.0
338	גבינה לבנה 9% - טרה	130	9.0	3.5	9.0
339	גבינה לבנה 15% - טרה	180	8.2	3.5	15.0
340	גבינה לבנה 28% - טרה	285	6.8	3.5	28.0
341	גבינה לבנה 0% - שופרסל	46	9.5	3.6	0.2
342	גבינה לבנה 1% - שופרסל	54	9.5	3.6	1.0
343	גבינה לבנה 3% - שופרסל	76	9.5	3.5	3.0
344	גבינה לבנה 5% - שופרסל	98	9.5	3.5	5.0
345	גבינה לבנה 9% - שופרסל	130	9.0	3.5	9.0
346	גבינה לבנה 15% - שופרסל	180	8.2	3.5	15.0
347	גבינה לבנה 28% - שופרסל	285	6.8	3.5	28.0
348	קוטג' 1% - תנובה	68	11.5	1.8	1.0
349	קוטג' 9% - תנובה	125	10.0	1.8	9.0
350	קוטג' 1% - שטראוס	66	11.8	1.8	1.0
351	קוטג' 3% - שטראוס	82	11.0	1.8	3.0
352	קוטג' 5% - שטראוס	98	10.5	1.8	5.0
353	קוטג' 1% - טרה	67	11.6	1.8	1.0
354	קוטג' 3% - טרה	83	11.0	1.8	3.0
355	קוטג' 5% - טרה	99	10.5	1.8	5.0
356	קוטג' 9% - טרה	127	9.8	1.8	9.0
357	קוטג' 1% - שופרסל	67	11.6	1.8	1.0
358	קוטג' 3% - שופרסל	83	11.0	1.8	3.0
359	קוטג' 5% - שופרסל	99	10.5	1.8	5.0
360	קוטג' 9% - שופרסל	127	9.8	1.8	9.0
361	גבינה בולגרית 5% - פיראוס	99	14.0	2.0	5.0
362	גבינה בולגרית 9% - פיראוס	138	15.0	1.8	9.0
363	גבינה בולגרית 16% - פיראוס	230	16.0	1.5	16.0
364	גבינה בולגרית 24% - פיראוס	295	17.0	1.5	24.0
365	גבינה בולגרית 5% - צוריאל	98	14.0	2.0	5.0
366	גבינה בולגרית 9% - צוריאל	137	15.0	1.8	9.0
367	גבינה בולגרית 16% - צוריאל	228	16.0	1.5	16.0
368	גבינה בולגרית 24% - צוריאל	290	17.0	1.5	24.0
369	גבינה בולגרית 5% - גד	98	14.0	2.0	5.0
370	גבינה בולגרית 9% - גד	137	15.0	1.8	9.0
371	גבינה בולגרית 16% - גד	228	16.0	1.5	16.0
372	גבינה בולגרית 24% - גד	290	17.0	1.5	24.0
373	גבינה בולגרית 5% - תנובה	98	14.0	2.0	5.0
374	גבינה בולגרית 9% - תנובה	137	15.0	1.8	9.0
375	גבינה בולגרית 16% - תנובה	228	16.0	1.5	16.0
376	גבינה בולגרית 24% - תנובה	290	17.0	1.5	24.0
377	יוגורט דנונה / ביו 0% - תנובה	38	4.5	4.5	0.1
378	יוגורט דנונה / ביו 1.5% - תנובה	48	4.1	4.3	1.5
379	יוגורט דנונה / ביו 3% - תנובה	60	4.0	4.2	3.0
380	יוגורט דנונה / ביו 4.5% - תנובה	70	3.8	4.0	4.5
381	יוגורט דנונה / ביו 0% - שטראוס	38	4.5	4.5	0.1
382	יוגורט דנונה / ביו 1.5% - שטראוס	48	4.1	4.3	1.5
383	יוגורט דנונה / ביו 3% - שטראוס	60	4.0	4.2	3.0
384	יוגורט דנונה / ביו 4.5% - שטראוס	70	3.8	4.0	4.5
385	יוגורט דנונה / ביו 0% - יוטבתה	38	4.5	4.5	0.1
386	יוגורט דנונה / ביו 1.5% - יוטבתה	48	4.1	4.3	1.5
387	יוגורט דנונה / ביו 3% - יוטבתה	60	4.0	4.2	3.0
388	יוגורט דנונה / ביו 4.5% - יוטבתה	70	3.8	4.0	4.5
389	יוגורט דנונה / ביו 0% - שופרסל	38	4.5	4.5	0.1
390	יוגורט דנונה / ביו 1.5% - שופרסל	48	4.1	4.3	1.5
391	יוגורט דנונה / ביו 3% - שופרסל	60	4.0	4.2	3.0
392	יוגורט דנונה / ביו 4.5% - שופרסל	70	3.8	4.0	4.5
393	חזה עוף אפוי בתנור	165	31.0	0.0	3.6
394	חזה עוף בגריל	165	31.0	0.0	3.6
395	חזה עוף מבושל במרק	150	29.0	0.0	3.0
396	חזה עוף מוקפץ עם ירקות	140	22.0	3.5	4.0
397	חזה עוף מבושל ברוטב עגבניות	135	24.0	3.0	3.2
398	פרגית עוף אפוי בתנור	190	22.0	0.0	11.0
399	פרגית עוף בגריל	195	22.5	0.0	11.5
400	פרגית עוף מבושל במרק	180	21.0	0.0	10.0
האם להמשיך לטווח הבא (401–600)?
‎פריטים 1–200 (ל-100 גרם)
מס'	שם המוצר	קלוריות	חלבון (ג')	פחמימות (ג')	שומן (ג')
1	חלב 3% - תנובה / שטראוס	60	3.3	4.7	3.0
2	חלב 1% - תנובה	42	3.3	4.8	1.0
3	חלב דל לקטוז 2%	50	3.3	4.7	2.0
4	חלב סויה ללא סוכר - אלפרו	33	3.3	0.2	2.2
5	חלב שקדים ללא סוכר	13	0.5	0.1	1.1
6	חלב שיבולת שועל - אלפרו	44	0.3	6.7	1.5
7	קוטג' 5% - תנובה	98	10.5	1.8	5.0
8	קוטג' 3% - תנובה	82	11.0	1.8	3.0
9	קוטג' 9% - שטראוס	128	9.5	1.8	9.0
10	קוטג' פרו 12g חלבון	75	12.0	1.8	1.5
11	גבינה לבנה 5% - תנובה	99	9.5	3.5	5.0
12	גבינה לבנה 3% - שטראוס	78	9.5	3.5	3.0
13	גבינה לבנה 9% - תנובה	135	9.0	3.5	9.0
14	גבינה צהובה עמק 28% - תנובה	335	24.5	0.5	26.0
15	גבינה צהובה עמק 15% - תנובה	220	28.0	0.5	11.5
16	גבינה צהובה עמק 9% - תנובה	175	30.0	0.5	6.0
17	גבינה צהובה גלבוע 22%	290	25.0	0.5	21.0
18	גבינת מותרת 5% שומן	95	10.0	3.0	5.0
19	גבינת מוצרלה מגוררת	280	22.0	2.0	20.0
20	גבינת מוצרלה לייט 15%	205	24.0	1.5	11.5
21	גבינת בולגרית 5% - פיראוס	99	14.0	2.0	5.0
22	גבינת בולגרית 16% - פיראוס	230	16.0	1.5	16.0
23	גבינת פטה עיזים 20%	275	15.0	1.5	23.0
24	גבינת צפתית 5% - תנובה	110	16.0	1.5	5.0
25	לאבנה 9% - פיראוס	130	6.5	4.0	9.0
26	לאבנה 5%	98	7.0	4.0	5.0
27	גבינת שמנת נפוליאון 25%	270	5.5	3.5	25.0
28	גבינת שמנת נפוליאון 16%	190	6.0	4.0	16.0
29	יוגורט דנונה 3% ביו	60	4.0	4.2	3.0
30	יוגורט דנונה 1.5% ביו	48	4.1	4.3	1.5
31	יוגורט דנונה פרו 20g חלבון נקי	55	10.0	4.0	0.2
32	יוגורט דנונה פרו 20g תות	75	10.0	9.0	0.2
33	יוגורט דנונה פרו 20g וניל	75	10.0	9.0	0.2
34	יוגורט דנונה פרו 20g אפרסק	75	10.0	9.0	0.2
35	יוגורט יווני 7% - יוטבתה	95	5.0	3.8	7.0
36	יוגורט יווני 2% - יוטבתה	62	5.5	4.0	2.0
37	יוגורט סקיר Yoplait טבעי	62	11.0	4.0	0.2
38	יוגורט Yoplait Pro 15g	68	9.5	5.0	0.5
39	מעדן GO 20g חלבון שוקולד	85	10.0	10.0	0.5
40	מעדן GO 20g חלבון וניל	82	10.0	9.5	0.5
41	מעדן GO 20g חלבון קפה	82	10.0	9.5	0.5
42	מעדן מילקי שוקולד	125	2.3	16.0	6.0
43	מעדן מילקי לייט 1%	72	2.5	12.0	1.2
44	מעדן דני שוקולד	115	2.8	17.0	4.0
45	גיל 3% - תנובה	58	3.3	4.2	3.0
46	אשל 4.5% - תנובה	68	3.2	4.0	4.5
47	שמנת חמוצה 15% - תנובה	158	2.7	3.8	15.0
48	שמנת חמוצה 9% - תנובה	110	3.0	4.0	9.0
49	שמנת מתוקה 38% להקצפה	370	2.0	2.8	38.0
50	שמנת לבישול 15% - השף הלבן	165	2.5	3.5	15.0
51	שמנת לבישול 10% - השף הלבן	120	2.8	4.0	10.0
52	חמאה שופרסל / תנובה	717	0.8	0.6	81.0
53	ריקוטה 5% - גד	95	8.5	3.5	5.0
54	גבינת חלומי 24%	310	22.0	2.0	24.0
55	גבינת פרמזן מגוררת	431	38.0	4.1	29.0
56	ביצה S (קטנה)	145	12.0	0.7	10.0
57	ביצה M (בינונית)	143	12.5	0.7	9.5
58	ביצה L (גדולה)	143	12.5	0.7	9.5
59	ביצה XL (ענקית)	143	13.0	0.8	9.8
60	חלבון ביצה (חלבון בלבד)	52	11.0	0.7	0.2
61	חלמון ביצה (חלמון בלבד)	322	15.8	3.6	27.0
62	ביצה קשה M	146	12.6	0.8	10.0
63	חזה עוף טרי (נא)	110	23.0	0.0	1.2
64	חזה עוף מבושל / בגריל	165	31.0	0.0	3.6
65	פרגית עוף (ירך ללא עור)	155	19.5	0.0	8.0
66	כרעי עוף עם עור (מבושל)	215	24.0	0.0	13.0
67	כנפי עוף בגריל	230	19.0	0.0	17.0
68	שוקי עוף ללא עור	130	21.0	0.0	5.0
69	כבד עוף צלוי	170	25.0	0.7	7.0
70	בשר בקר טחון רזה 5% שומן	135	21.0	0.0	5.5
71	בשר בקר טחון 12% שומן	185	19.5	0.0	12.0
72	בשר בקר טחון קלאסי 20%	250	17.0	0.0	20.0
73	סטייק אנטרקוט בגריל	270	23.0	0.0	19.0
74	סטייק סינטה בקר	160	22.0	0.0	8.0
75	סטייק שייטל בקר	145	23.0	0.0	6.0
76	כתף בקר מס' 5 מבושל	170	26.0	0.0	7.0
77	צלי כתף מס' 4	165	25.0	0.0	7.0
78	חזה הודו טרי	107	24.0	0.0	1.0
79	חזה הודו מבושל	145	30.0	0.0	2.5
80	שווארמה הודו נקבה	150	21.0	0.0	7.0
81	פסטרמה חזה הודו דלת שומן 1%	90	18.0	1.0	1.0
82	פסטרמה בדבש 2%	105	16.0	5.0	2.0
83	פסטרמה מעושנת 3%	115	17.0	2.0	3.0
84	נקניק סלמי איטלקי	420	21.0	1.5	36.0
85	נקניקיות עוף - זוגלובק	240	11.0	5.0	20.0
86	נקניקיות ביס עוף	250	11.0	5.0	21.0
87	המבורגר בקר קפוא (שמיר/טיבון)	220	15.0	4.0	16.0
88	שניצל עוף ביתי מצופה פירורים	220	16.0	14.0	11.0
89	שניצל עוף מוכן קפוא (מאמא עוף)	210	14.0	15.0	10.0
90	קופסת טונה במים (מסונן)	105	24.5	0.0	0.8
91	קופסת טונה בשמן צמחי (מסונן)	190	26.0	0.0	9.0
92	טונה בשמן זית (מסונן)	195	26.0	0.0	9.5
93	פילה סלמון טרי (נא)	205	20.0	0.0	13.5
94	פילה סלמון בתנור	220	22.0	0.0	14.5
95	סלמון מעושן (סלמון מעושן פרוס)	117	22.0	0.0	3.5
96	פילה אמנון (מושט) בתנור	128	26.0	0.0	2.5
97	פילה דניס בתנור	140	22.0	0.0	5.5
98	פילה לברק בתנור	124	23.5	0.0	3.2
99	סרדינים בשמן (מקופסה)	208	24.6	0.0	11.5
100	מקרל מעושן	285	19.0	0.0	23.0
101	פילה נסיכת הנילוס	90	17.5	0.0	2.0
102	קוד / סול אפוי	85	18.0	0.0	1.0
103	אצבעות דג מצופות (דגיתון)	210	11.0	18.0	10.0
104	אדממה / Edamame (תרמילי סויה)	121	11.9	8.9	5.2
105	אדממה קלוף קפוא	140	12.0	10.0	6.0
106	טופו קלאסי - תנובה / אדמה	80	12.0	1.5	4.0
107	טופו במרקם רך (סילקן)	55	6.0	1.0	3.0
108	שבבי סויה יבשים (בונזואל)	335	50.0	30.0	1.5
109	טבעול שניצל תירס	195	6.5	22.0	9.0
110	טבעול שניצל צמחוני קלאסי	180	14.0	12.0	9.0
111	בורגר סויה Sensational / Beyond	230	18.0	6.0	15.0
112	אורז לבן מבושל	130	2.7	28.0	0.3
113	אורז בסמטי מבושל	125	3.0	27.0	0.3
114	אורז יסמין מבושל	129	2.8	28.0	0.3
115	אורז מלא מבושל	111	2.6	23.0	0.9
116	אורז אדום / שחור מבושל	105	3.0	22.0	1.0
117	פסטה לבנה מבושלת	157	5.2	30.5	0.9
118	פסטה מקמח מלא מבושלת	124	5.3	26.5	0.5
119	פסטה כוסמין מבושלת	135	5.0	28.0	1.0
120	קוסקוס מבושל	112	3.8	23.0	0.2
121	קוסקוס מלא מבושל	105	4.0	21.0	0.5
122	בורגול מבושל	83	3.1	18.5	0.2
123	קינואה מבושלת	120	4.4	21.3	1.9
124	כוסמת ירוקה / קלויה מבושלת	92	3.4	20.0	0.4
125	שיבולת שועל להכנה מהירה (קוואקר)	389	16.9	66.3	6.9
126	קוואקר - מנה מדודה (יבש)	389	16.9	66.3	6.9
127	פתיתים אפויים מבושלים	145	4.5	27.0	2.0
128	תפוחי אדמה אפויים / מבושלים	87	2.0	20.0	0.1
129	פירה תפוחי אדמה עם חלב וחמאה	115	2.2	15.0	5.5
130	בטטה אפויה בתנור	90	1.6	21.0	0.2
131	תירס מתוק מקופסה (מסונן)	88	3.2	19.0	1.2
132	קלח תירס מבושל	96	3.4	21.0	1.5
133	לחם אחיד פרוס (אנג'ל / ברמן)	245	8.5	47.0	1.5
134	לחם מקמח חיטה מלאה 100%	225	9.0	42.0	2.0
135	לחם כוסמין 100%	240	10.0	44.0	2.5
136	לחם קל (אנג'ל/ברמן)	190	11.0	36.0	1.2
137	לחם מחמצת כפרי	255	8.0	50.0	1.2
138	פיתה קלאסית מקמח לבן	265	8.0	53.0	1.2
139	פיתה מקמח מלא	240	9.0	45.0	2.0
140	פיתה כוסמין קלה	195	10.0	37.0	1.5
141	פיתה ביס / פיתה קטנה	270	8.0	54.0	1.5
142	לחמנייה מתוקה / לחמניית המבורגר	280	8.5	50.0	4.5
143	לחמנייה קלה מקמח מלא	210	10.0	38.0	2.0
144	טורטייה חיטה (מאסטר שף / שופרסל)	310	8.0	52.0	7.5
145	טורטייה מקמח מלא	290	8.5	46.0	7.0
146	פריכיות אורז חום קלאסיות	385	8.0	79.0	2.5
147	פריכיות אורז עם מלח ים	387	8.0	79.0	2.6
148	פריכיות תירס קראנצ'	390	7.5	80.0	3.0
149	פריכיות כוסמין מלא	380	11.0	74.0	2.8
150	פריכיות דקות / מיני פריכיות	390	8.0	80.0	2.5
151	פתית זהב קלאסי (מאסטר שף)	410	9.0	70.0	10.0
152	קרקר זהב / קרקר דגנים	430	10.0	65.0	14.0
153	בייגלה שמיניות (אסם)	390	10.0	78.0	3.5
154	בייגלה שטוחים (אסם)	410	11.0	73.0	8.0
155	דגני בוקר קורנפלקס תלמה	375	7.0	84.0	1.0
156	דגני בוקר כריות שוקולד (תלמה)	440	7.5	68.0	15.0
157	דגני בוקר צ'יריוס דבש ואגוזים	390	7.0	76.0	5.5
158	דגני בוקר פיטנס טבעי (נסטלה)	360	11.0	71.0	2.0
159	גרנולה ביתית / דגנים מלאים עם אגוזים	450	10.0	58.0	19.0
160	גרנולה ללא תוספת סוכר	410	12.0	55.0	16.0
161	עדשים ירוקות / חומות מבושלות	116	9.0	20.1	0.4
162	עדשים אדומות מבושלות	115	8.5	20.0	0.5
163	גרגירי חומוס מבושלים	164	8.9	27.4	2.6
164	גרגירי חומוס מוקפאים (סנפרוסט)	155	9.0	25.0	2.5
165	שעועית לבנה מבושלת	139	9.7	25.0	0.5
166	שעועית אדומה מבושלת	127	8.7	22.8	0.5
167	אפונה ירוקה מבושלת (סנפרוסט)	81	5.4	14.4	0.4
168	תורמוס מבושל	120	12.0	10.0	3.5
169	פול מבושל	110	7.5	18.0	0.6
170	עדשים שחורות (בלוגה) מבושלות	115	9.2	20.0	0.5
171	תפוח עץ בינוני (עם קליפה)	52	0.3	14.0	0.2
172	בננה בינונית	89	1.1	22.8	0.3
173	תפוז בינוני	47	0.9	11.8	0.1
174	קלמנטינה	53	0.8	13.3	0.3
175	אשכולית אדומה	42	0.8	10.6	0.1
176	תות שדה טרי	32	0.7	7.7	0.3
177	ענבים ירוקים / אדומים	69	0.7	18.1	0.2
178	אבטיח מתוק	30	0.6	7.6	0.2
179	מלון צהוב	34	0.8	8.2	0.2
180	אפרסק טרי	39	0.9	9.5	0.3
181	נקטרינה	44	1.1	10.6	0.3
182	שזיף אדום / צהוב	46	0.7	11.4	0.3
183	אגס בינוני	57	0.4	15.2	0.1
184	תמר מג'הול עסיסי	277	1.8	75.0	0.2
185	תמר דקל נור	282	2.5	75.0	0.4
186	מנגו מתוק	60	0.8	15.0	0.4
187	אננס טרי	50	0.5	13.1	0.1
188	קיווי	61	1.1	14.7	0.5
189	דובדבנים מתוקים	63	1.0	16.0	0.2
190	אבוקדו היל / חס	160	2.0	8.5	14.5
191	רימון (גרגרים)	83	1.7	18.7	1.2
192	תאנה טרייה	74	0.8	19.2	0.3
193	אפרסמון	70	0.6	18.6	0.2
194	משמש טרי	48	1.4	11.1	0.4
195	חמוציות מיובשות ללא סוכר	308	0.5	82.0	1.4
196	צימוקים כהים / בהירים	299	3.1	79.2	0.5
197	שזיפים מיובשים	240	2.2	63.9	0.4
198	משמש מיובש	241	3.4	62.6	0.5
199	מלפפון טרי עם קליפה	15	0.6	3.6	0.1
200	עגבנייה טרייה	18	0.9	3.9	0.2
המשך יבוא מיד לפי בחירתך לטווח הבא (201–400). האם להמשיך לטווח הבא?
‎הנה החלק השלישי: פריטים 401 עד 600 (מנות בשר ועוף מוכנות, דגים, דגנים מוכנים, פירות ודגני בוקר שונים):
‎פריטים 401–600 (ל-100 גרם)
מס'	שם המוצר	קלוריות	חלבון (ג')	פחמימות (ג')	שומן (ג')
401	פרגית עוף מוקפץ עם ירקות	165	18.0	4.0	8.5
402	פרגית עוף מבושל ברוטב עגבניות	160	19.0	3.5	8.0
403	כרעי עוף אפוי בתנור	230	25.0	0.0	14.0
404	כרעי עוף בגריל	235	25.5	0.0	14.5
405	כרעי עוף מבושל במרק	215	24.0	0.0	12.5
406	כרעי עוף מוקפץ עם ירקות	210	21.0	3.5	12.0
407	כרעי עוף מבושל ברוטב עגבניות	200	22.0	3.0	11.5
408	בשר בקר 5% אפוי בתנור	175	25.0	0.0	7.5
409	בשר בקר 5% בגריל	180	25.5	0.0	8.0
410	בשר בקר 5% מבושל במרק	165	24.0	0.0	7.0
411	בשר בקר 5% מוקפץ עם ירקות	170	22.0	3.5	7.5
412	בשר בקר 5% מבושל ברוטב עגבניות	160	23.0	3.0	6.8
413	בשר בקר 12% אפוי בתנור	230	22.0	0.0	15.0
414	בשר בקר 12% בגריל	235	22.5	0.0	15.5
415	בשר בקר 12% מבושל במרק	215	21.0	0.0	14.0
416	בשר בקר 12% מוקפץ עם ירקות	220	20.0	3.5	14.5
417	בשר בקר 12% מבושל ברוטב עגבניות	210	21.0	3.0	13.5
